company,paddle,thinkness,power_percentile,spin_percentile,twist_percentile,balance_percentile,swing_percentile,pop_percentile,shape,face_material,handle_length,spin_rpm,swing_weight,twist_weight,core_material,surface_texture,length,width,static_weight,balance_point_cm,serve_speed_mph,punch_volley_speed
Honolulu Pickleball Co.,Sword & Shield-J1,16,0.48,0.29,0.82,0.61,0.97,0.29,Elongated,Toray Carbon Fiber,5.75,"1,880",127.8,6.9,Polypropylene Honeycomb,Peel Ply-Coarse,16.5,7.5,8.8,24.1,54.9,34.3
Honolulu Pickleball Co.,Sword & Shield-J1H,16,0.91,0.47,0.77,0.57,0.99,0.36,Elongated,Toray Carbon Fiber,5.75,"2,032",129.9,6.8,Polypropylene Honeycomb,Peel Ply-Coarse,16.5,7.5,8.7,24,56.9,34.6
Honolulu Pickleball Co.,Sword & Shield-J2,16,0.57,0.13,0.62,0.57,0.65,0.31,Hybrid,Toray Carbon Fiber,5.5,"1,714",117.7,6.55,Polypropylene Honeycomb,Peel Ply-Coarse,16.2,7.8,8,24,55.2,34.4
Honolulu Pickleball Co.,Sword & Shield-J3,16,0.55,0.17,0.86,0.29,0.32,0.34,Standard,Toray Carbon Fiber,6,"1,778",111.4,7,Polypropylene Honeycomb,Peel Ply-Coarse,16,8,8,23.6,55.1,34.5
Honolulu Pickleball Co.,Sword & Shield-J5,16,0.73,0.52,0.37,0.74,1.00,0.26,Elongated,Toray Carbon Fiber,5.75,"2,067",130.1,6.15,Polypropylene Honeycomb,Peel Ply-Coarse,17,7,8.6,24.3,55.7,34.2
Hudef,Mage Pro,16,0.28,0.43,0.53,0.67,0.70,0.22,Elongated,T700 Carbon Fiber,5.35,"2,004",119,6.4,Polypropylene Honeycomb,Peel Ply-Coarse,16.5,7.4,8.1,24.2,54.1,34.1
Hudef,Mage Pro Gen 2,14,0.55,0.50,0.67,0.42,0.22,0.42,Hybrid,Kevlar & Carbon Fiber,5.3,"2,056",108.6,6.6,Polypropylene Honeycomb,Peel Ply-Coarse,16.1,7.8,7.9,23.8,55.1,34.8
Hudef,Viva Pro Gen1,16,0.06,0.53,0.39,0.77,0.84,0.18,Elongated,T700 Carbon Fiber,5.5,"2,077",122,6.16,Polypropylene Honeycomb,Peel Ply-Coarse,16.5,7.4,8.1,24.4,52.1,33.9
Hudef,Viva Pro Gen2,16,0.64,0.50,0.59,0.98,0.97,0.42,Elongated,T700 Carbon Fiber,5.5,"2,060",128,6.5,Polypropylene Honeycomb,Peel Ply-Coarse,16.5,7.4,8.1,25.3,55.5,34.8
Joola,Hyperion CAS,16,,0.04,0.51,0.81,0.92,,Elongated,Fiberglass,5.5,"1,234",125,6.37,Polypropylene Honeycomb,Grit,16.5,7.5,8.3,24.5,,
Joola,Hyperion CFS,16,0.03,0.14,0.64,0.93,0.96,,Elongated,Carbon Fiber,5.5,"1,725",127,6.57,Polypropylene Honeycomb,Peel Ply-Coarse,16.5,7.5,8.4,24.8,51.6,
Joola,Hyperion CFS,16,0.03,0.06,0.64,0.93,0.96,,Elongated,Carbon Fiber,5.5,"1,333",127,6.57,Polypropylene Honeycomb,Peel Ply-Coarse,16.5,7.5,8.4,24.8,51.6,
Joola,Hyperion CFS Swift,16,,0.07,,,,,Elongated,Carbon Fiber,5.5,"1,420",,,Polypropylene Honeycomb,Peel Ply-Coarse,16.5,7.5,7.9,,,
Joola,Magnus 3 Tyson McGuffin,14,0.95,0.99,0.33,0.61,0.45,0.95,Elongated,Carbon Fiber,5,"2,425",114.7,6.05,Polypropylene + Foam,Peel Ply-Coarse,16.5,7.5,8,24.1,57.3,37.2
Joola,Perseus 3 Ben Johns,14,0.91,0.75,0.26,0.67,0.59,0.99,Elongated,Carbon Fiber,5.5,"2,193",116.9,5.83,Polypropylene + Foam,Peel Ply-Coarse,16.5,7.5,8,24.2,56.9,38.3
Joola,Perseus 3 Ben Johns,16,0.96,1.00,0.34,0.67,0.72,0.96,Elongated,Carbon Fiber,5.5,"2,487",119.2,6.08,Polypropylene + Foam,Peel Ply-Coarse,16.5,7.5,8,24.2,57.6,37.3
Joola,Perseus MOD TA-15,16,0.95,0.83,0.36,0.88,0.72,0.95,Elongated,Carbon Fiber,5.5,"2,243",119.2,6.12,Polypropylene + Foam,Peel Ply-Coarse,16.5,7.5,8,24.6,57.5,36.9
Joola,Scorpeus 3 Anna Bright,14,0.91,0.93,0.68,0.57,0.23,1.00,Standard,Carbon Fiber,5.25,"2,310",109.3,6.64,Polypropylene + Foam,Peel Ply-Coarse,16,8,7.8,24,56.9,38.6
Joola,Scorpeus 3 Collin Johns,16,0.94,0.63,0.84,0.33,0.33,0.98,Standard,Carbon Fiber,5.25,"2,115",111.7,6.94,Polypropylene + Foam,Peel Ply-Coarse,16,8,8,23.7,57,38
Joola,Scorpeus Collin Johns,16,0.06,0.29,0.85,0.48,0.41,0.22,Standard,Carbon Fiber,5.25,"1,889",114,6.95,Polypropylene Honeycomb,Peel Ply-Coarse,16,8,8.1,23.9,52.2,34.1
Joola,Solaire,14,,0.33,,,,,Standard,Carbon Fiber,5.5,"1,917",,,Polypropylene Honeycomb,Peel Ply-Coarse,16,8,8.4,,,
Joola,Solaire,14,,0.17,,,,,Standard,Carbon Fiber,5.5,"1,774",,,Polypropylene Honeycomb,Peel Ply-Coarse,16,8,8.4,,,
Komodo,Katana,16,0.26,0.47,0.20,0.42,0.14,0.08,Elongated,Kevlar 3K Cloth,5.25,"2,032",106.5,5.75,Polypropylene Honeycomb,Peel Ply-Coarse,16.5,7.5,7.5,23.8,53.9,33.4
Komodo,Tonto 18K,14,0.37,0.25,0.07,0.17,0.04,0.64,Elongated,18K Carbon Fiber,5.8,"1,854",100,5.32,Polypropylene Honeycomb,Peel Ply-Coarse,16.5,7.4,7.1,23.3,54.5,35.3
Komodo,Tonto Unidirectional,14,0.46,0.17,0.14,0.29,0.68,0.64,Elongated,T700 Carbon Fiber,5.8,"1,765",118.5,5.64,Polypropylene Honeycomb,Peel Ply-Coarse,16.5,7.4,8.1,23.6,54.8,35.3
Legacy,Legacy Pro,16,,0.32,0.55,,0.78,,Elongated,Toray Carbon Fiber,5.3,"1,913",121,6.43,Polypropylene Honeycomb,Peel Ply-Fine,16.5,7.5,8,,,
Maverix,Clash-15 All Court,15,0.55,0.70,0.62,0.48,0.63,0.50,Hybrid,T700 Carbon Fiber,5.4,"2,161",117.2,6.55,Polypropylene Honeycomb,Peel Ply-Coarse,16.2,7.7,8.1,23.9,55.1,35
Maverix,Clash-15 Pro,15,0.61,0.41,0.55,0.48,0.55,0.54,Hybrid,Kevlar & Carbon Fiber,5.4,"1,986",116.2,6.42,Polypropylene Honeycomb,Peel Ply-Coarse,16.2,7.7,8.2,23.9,55.4,35.1
Maverix,Havik-15 All Court,15,0.51,0.46,0.50,0.48,0.63,0.54,Elongated,T700 Carbon Fiber,5.5,"2,028",117.2,6.36,Polypropylene Honeycomb,Peel Ply-Coarse,16.5,7.5,8.2,23.9,55,35.1
Maverix,Havik-15 Pro,15,0.66,0.42,0.65,0.61,0.69,0.45,Elongated,Kevlar & Carbon Fiber,5.5,"2,002",118.7,6.58,Polypropylene Honeycomb,Peel Ply-Coarse,16.5,7.5,8.3,24.1,55.6,34.9
Monarch,Mercenary Graphite 2,10.3,,0.02,,,0.20,,Standard,Graphite,4.5,"1,099",108,,Polypropylene Honeycomb,Grit,15.5,8.2,7.8,,,
Neonic,Flow,16,0.48,0.93,0.61,0.48,0.56,0.36,Hybrid,Toray Carbon Fiber,5.5,"2,310",116.3,6.53,Polypropylene Honeycomb,Peel Ply-Coarse,16.3,7.6,8.1,23.9,54.9,34.6
OM,Aero,14,0.91,0.11,0.58,0.24,0.15,0.87,Wide Body,T700 Carbon Fiber,5,"1,584",106.7,6.48,Polypropylene Honeycomb,Grit,15.8,8.2,7.9,23.5,56.9,36.3
Owl,Owl CXE,16,0.42,0.98,0.09,0.99,0.68,0.34,Elongated,Acoustene™ Composite,5.3,"2,380",118.5,5.51,Polypropylene Honeycomb,Acoustene™ Composite,16.5,7.5,7.9,25.6,54.7,34.5
PaddleTek,Bantam TKO-C,12.7,0.84,0.94,0.62,0.77,0.37,0.95,Elongated,Toray Carbon Fiber & Fiberglass,5.25,"2,314",113,6.55,Polypropylene Honeycomb,Peel Ply-Coarse,16.5,7.5,7.7,24.4,56.1,37.2
PaddleTek,Bantam TKO-CX,14.3,0.89,0.91,0.51,0.96,0.83,0.90,Elongated,Toray Carbon Fiber & Fiberglass,5.75,"2,293",121.7,6.38,Polypropylene Honeycomb,Peel Ply-Coarse,16.5,7.5,7.9,25,56.5,36.4
PaddleTek,Tempest TKO-C,14.3,0.90,0.77,0.66,0.88,0.91,0.90,Standard,Toray Carbon Fiber & Fiberglass,5.25,"2,204",124,6.59,Polypropylene Honeycomb,Peel Ply-Coarse,16.5,7.5,8.3,24.6,56.6,36.4
PaddleTek,Tempest Wave Pro-C,14.3,0.64,0.92,0.92,0.33,0.37,0.92,Standard,Toray Carbon Fiber & Fiberglass,5.25,"2,302",112.4,7.19,Polypropylene Honeycomb,Peel Ply-Coarse,15.9,8,8.2,23.7,55.5,36.5
PCKL,Pro 13,13,0.02,0.22,0.27,0.14,0.76,0.04,Hybrid,Toray Carbon Fiber,5.5,"1,834",120,5.91,Polypropylene Honeycomb,Peel Ply-Coarse,16.3,7.5,8.1,23.2,51.3,32.3
PCKL,Pro 16,16,0.13,0.24,0.64,0.42,0.78,0.03,Hybrid,Toray Carbon Fiber,5.5,"1,853",121,6.56,Polypropylene Honeycomb,Peel Ply-Coarse,16.3,7.5,7.8,23.8,52.8,32.1
Pickleball Apes,Pro Line Energy,16.5,0.59,0.55,0.16,0.91,0.84,0.45,Elongated,Kevlar & Carbon Fiber,6.25,"2,081",122,5.7,Polypropylene Narrow-Cell Honeycomb,Peel Ply-Coarse,17,7,8.3,24.7,55.3,34.9
Pickleball Apes,Pro Line Energy S,16.5,0.79,0.75,0.48,0.67,0.66,0.74,Elongated,Kevlar & Carbon Fiber,5.5,"2,192",118,6.34,Polypropylene Narrow-Cell Honeycomb,Peel Ply-Coarse,16.4,7.6,8.1,24.2,55.9,35.6
PIKKL,Hurricane Pro,14,0.73,0.90,0.67,0.29,0.18,0.69,Standard,T700 Carbon Fiber,5.5,"2,280",107.7,6.6,Polypropylene Honeycomb,Peel Ply-Coarse,16,8,7.8,23.6,55.7,35.4
PIKKL,Hurricane Pro,16,0.79,0.99,0.77,0.48,0.21,0.59,Standard,T700 Carbon Fiber,5.5,"2,404",108.6,6.79,Polypropylene Honeycomb,Peel Ply-Coarse,16,8,7.8,23.9,55.9,35.2
PIKKL,Vantage Pro,14,0.76,0.98,0.41,0.42,0.32,0.50,Elongated,Carbon Fiber,5.35,"2,367",111.5,6.19,Polypropylene Honeycomb,Peel Ply-Coarse,16.3,7.5,7.9,23.8,55.8,35
PIKKL,Vantage Pro,16,0.81,0.85,0.68,0.48,0.81,0.42,Elongated,Carbon Fiber,5.35,"2,260",121.2,6.64,Polypropylene Honeycomb,Peel Ply-Coarse,16.3,7.5,8.4,23.9,56,34.8
ProDrive,Drive Carbon,19,0.66,0.28,0.94,0.81,0.99,0.08,Elongated,Toray Carbon Fiber,5.3,"1,870",130,7.24,Polypropylene + Kevlar,Peel Ply-Coarse,16.4,7.6,8.6,24.5,55.6,33.4
ProDrive,Encounter,16,0.90,0.45,0.09,0.61,0.73,0.34,Elongated,T700 Carbon Fiber,5.5,"2,020",119.2,5.49,Polypropylene + Kevlar,Peel Ply-Coarse,16.5,7.3,8.2,24.1,56.7,34.5
ProDrive,Ghost,16,0.66,0.20,0.74,0.48,0.60,0.54,Elongated,Toray Carbon Fiber,5.3,"1,817",117,6.73,Kevlar,Peel Ply-Coarse,16.4,7.6,8,23.9,55.6,35.1
ProKennex,Black Ace Pro,10,0.37,0.23,0.40,0.05,0.08,0.97,Standard,Toray Carbon Fiber,5.3,"1,848",105,6.17,Polypropylene Honeycomb,Peel Ply,15.8,7.6,8.1,22.6,54.5,37.4
