Paddle Name,Brand,Price,Discount Code,Link to Paddle,Year Released,Shape,Face Material,Grit Type,Build Type,Paddle Type,Core Thickness (mm),Grip Length (in),Grip Size (in),Weight (oz),Spin Rating,Spin (RPM),Swingweight,Swingweight Percentile,Twistweight,Twistweight Percentile,Balance Point (mm),Power (MPH),Power Percentile,Pop (MPH),Pop Percentile
Halo Control Max (2024 version),SLK,$130.00,INF-BRAYDONU,https://a8qh.short.gy/HCM,2024,Standard,Carbon,Raw Texture/Peel Ply,Gen 1,Control,16,4.85,4.25,7.90,Very High,1983,110,17%,6.77,75%,237,52.2,21%,32.3,6%
Halo Control XL,SLK,$139.99,INF-BRAYDONU,https://a8qh.short.gy/halo,2022,Elongated,Carbon,Raw Texture/Peel Ply,Gen 1,Control,16,5.60,4.50,8.10,,,122,83%,6.07,30%,244,,,,
Halo Power Max,SLK,$139.99,INF-BRAYDONU,https://a8qh.short.gy/halo,2022,Standard,Carbon,Raw Texture/Peel Ply,Gen 1,All-Court,13,4.75,4.00,7.97,,,110,17%,6.54,63%,234,,,,
Halo Power Max (2024 version),SLK,$130.00,INF-BRAYDONU,https://a8qh.short.gy/HPM,2024,Standard,Carbon,Raw Texture/Peel Ply,Gen 1,All-Court,13,4.85,4.25,7.70,Very High,2000,103,2%,6.81,78%,231,53.6,56%,33.7,45%
Halo Power XL,SLK,$139.99,INF-BRAYDONU,https://a8qh.short.gy/halo,2022,Elongated,Carbon,Raw Texture/Peel Ply,Gen 1,All-Court,13,5.60,4.00,7.97,,,120,77%,5.59,5%,245,,,,
Halo Pro Max,SLK,$150.00,INF-BRAYDONU,https://a8qh.short.gy/Mpro,2024,Standard,Kevlar/Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,14,4.85,4.25,7.92,Very High,1953,108,10%,7.00,87%,234,53.2,43%,33.5,34%
Halo Pro XL,SLK,$150.00,INF-BRAYDONU,https://a8qh.short.gy/SLKPXL ,2024,Elongated,Kevlar/Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,14,5.75,4.25,7.98,High,1939,120,77%,5.90,21%,245,53.7,60%,34.5,77%
Apollo,Spartus,$129.99,PBEFFECT,https://a8qh.short.gy/Apollo,2024,Widebody,Kevlar,Raw Texture/Peel Ply,Gen 2,Control,16,5.50,4.13,8.07,High,1927,108,10%,7.54,98%,232,51.6,14%,33.0,20%
Ballista,Spartus,$159.99,PBEFFECT,https://a8qh.short.gy/B,2023,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2/Edgeless,All-Court,16,5.50,4.13,7.94,,,113,33%,5.59,5%,239,,,,
Gladius Centurion,Spartus,$99.99,PBEFFECT,https://a8qh.short.gy/GC,2023,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,Control,16,5.50,4.13,7.98,,,121,80%,6.06,30%,243,,,,
Olympus,Spartus,$199.99,PBEFFECT,https://a8qh.short.gy/SO,2024,Hybrid,Carbon,Raw Texture/Peel Ply,Gen 3,All-Court,14,5.50,4.13,8.00,Very High,2043,113,33%,6.32,46%,238,53.8,64%,34.4,75%
Cryo 16,Speed Up,,,,2024,Elongated,,Raw Texture/Peel Ply,,,16,6.25,,8.33,,,125,94%,6.30,44%,243,,,,
Pyro 16,Speed Up,,,,2024,Elongated,,Raw Texture/Peel Ply,,,16,6.25,,8.30,,,123,87%,5.97,26%,243,,,,
TF-Blitz,Technifibre,$209.00,,,2024,Extra-elongated,Carbon,Raw Texture/Peel Ply,Gen 2,,15,6.00,4.25,8.24,Very High,2092,124,92%,5.81,13%,244,54.5,89%,34.7,85%
TF-Command,Technifibre,$209.00,,,2024,Widebody,Carbon,Raw Texture/Peel Ply,Gen 2,,15,5.00,4.25,8.16,Very High,2044,110,17%,6.81,78%,233,53.1,40%,33.7,45%
TF-Select,Technifibre,$209.00,,,2024,Hybrid,Kevlar,Raw Texture/Peel Ply,Gen 2,,15,5.50,4.25,8.10,Very High,2093,112,26%,6.43,54%,234,54.0,75%,34.5,77%
Azul 16,Thrive,$199.99,PBEFFECT,https://a8qh.short.gy/azul16,2024,Hybrid,Kevlar,Raw Texture/Peel Ply,Gen 2,Power,16,5.25,,8.12,High,1948,117,60%,6.60,67%,240,53.8,64%,33.9,54%
Blackout 16,Thrive,$199.99,PBEFFECT,https://a8qh.short.gy/BO16,2024,Hybrid,Fiberglass,Raw Texture/Peel Ply,Gen 2,Power,16,5.25,,8.28,Medium,1897,119,73%,6.71,73%,242,54.5,89%,34.1,63%
Rush 13mm,Thrive,$179.99,PBEFFECT,https://a8qh.short.gy/Rush,2023,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,Power,13,5.50,,7.90,High,1931,119,73%,6.10,30%,244,53.8,64%,33.6,39%
