Paddle Name,Brand,Price,Year Released,Shape,Face Material,Grit Type,Build Type,Paddle Type,Core Thickness (mm),Handle Length (in),Weight (oz),Spin Rating,Spin (RPM),Swingweight,Swingweight Percentile,Twistweight,Twistweight Percentile,Balance Point (mm),Power (MPH),Power Percentile,Pop (MPH),Pop Percentile,Link to Paddle,Discount Code
Azul 16,Thrive,$199.99,2024,Hybrid,Kevlar,Raw Texture/Peel Ply,Gen 2,Power,16,5.25,8.12,Very High,1948,117,56%,6.60,67%,240,53.8,67%,33.9,56%,https://a8qh.short.gy/azul16,10EFFECT
Blackout 16,Thrive,,2024,Hybrid,Fiberglass,Raw Texture/Peel Ply,Gen 2,Power,16,5.25,8.28,High,1897,119,70%,6.71,74%,242,54.5,89%,34.1,66%,Unreleased,10EFFECT
Rush 13mm,Thrive,$179.99,2023,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,Power,13,5.50,7.90,,1931,119,70%,6.10,33%,244,53.8,67%,33.6,43%,https://a8qh.short.gy/Rush,10EFFECT
Surge 16,Thrive,,2024,Hybrid,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.25,8.03,Very High,1937,117,56%,6.80,79%,243,53.4,54%,33.6,43%,https://a8qh.short.gy/Surge,10EFFECT
Threat 16mm,Thrive,$179.99,2023,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.50,8.00,,1918,122,81%,6.74,75%,245,52.5,28%,32.6,10%,https://a8qh.short.gy/Threat,10EFFECT
Jubilee,Triple J Pickleball,,2024,Elongated,Titanium/Carbon,Raw Texture/Peel Ply,Gen 3,Power,16,5.50,8.22,Very Low,1547,121,77%,6.42,55%,241,54.8,92%,33.8,49%,,
Alchemy (13.5 mm),Vatic Pro,$179.99,2023,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,Power,14,5.50,8.20,Very High,,116,50%,5.93,26%,238,,,,,https://a8qh.short.gy/VPA,10EFFECT
Alchemy (16 mm),Vatic Pro,$179.99,2023,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.50,8.54,High,,122,81%,6.49,60%,239,,,,,https://a8qh.short.gy/VPA,10EFFECT
Flash (14 mm),Vatic Pro,$139.99,2023,Hybrid,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,14,5.30,7.94,Very High,,110,16%,6.15,38%,235,52.0,21%,32.4,8%,https://a8qh.short.gy/VPFlash,10EFFECT
Flash (16 mm),Vatic Pro,$139.99,2023,Hybrid,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.30,8.25,High,1935,115,41%,6.70,74%,237,,,,,https://a8qh.short.gy/VPFlash,10EFFECT
